Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Female,64,Marshall Islands,Education and Research,Some College,Politics and Social Activism,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,31,Zambia,Arts and Entertainment,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,34,New Caledonia,Tech and Engineering,High School Graduate,Politics and Social Activism,Reading or writing,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,18,Holy See (Vatican City State),Public Service and Non-Profit,Some College,Literature and Writing,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,34,Nepal,Education and Research,Post-Graduate Degree,Literature and Writing,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,19,Jamaica,Arts and Entertainment,Some High School,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,46,Zimbabwe,Arts and Entertainment,Post-Graduate Degree,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,48,Qatar,Business and Finance,Some College,Literature and Writing,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,43,Sudan,Tech and Engineering,Some College,Sports and Athletics,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,27,Reunion,Business and Finance,Post-Graduate Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,43,Tonga,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Literature and Writing,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,53,Saudi Arabia,Education and Research,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,40,Guatemala,Business and Finance,Some College,Literature and Writing,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,18,Puerto Rico,Tech and Engineering,Some College,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,24,Guam,Education and Research,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,36,Mali,Education and Research,College Degree,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,26,Uruguay,Tech and Engineering,High School Graduate,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,59,Burkina Faso,Tech and Engineering,Some College,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,49,Bahrain,Tech and Engineering,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,32,Cuba,Tech and Engineering,College Degree,Sports and Athletics,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,39,Western Sahara,Education and Research,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,62,Turkmenistan,Health and Wellness,Post-Graduate Degree,Music and Performing Arts,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,56,Haiti,Tech and Engineering,Post-Graduate Degree,Music and Performing Arts,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,40,South Georgia and the South Sandwich Islands,Business and Finance,High School Graduate,Literature and Writing,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,22,Fiji,Business and Finance,Post-Graduate Degree,Literature and Writing,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,63,Denmark,Public Service and Non-Profit,Post-Graduate Degree,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,59,Kiribati,Business and Finance,College Degree,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,58,Ukraine,Arts and Entertainment,High School Graduate,Music and Performing Arts,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,55,Greece,Public Service and Non-Profit,Some College,Literature and Writing,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,46,Eritrea,Business and Finance,High School Graduate,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,45,El Salvador,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,54,Haiti,Education and Research,High School Graduate,Science and Technology,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,50,Heard Island and McDonald Islands,Student / Retired / Unemployed / Prefer not to say,Some High School,Music and Performing Arts,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,52,Syrian Arab Republic,Health and Wellness,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,66,Falkland Islands (Malvinas),Arts and Entertainment,Some College,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,24,Azerbaijan,Health and Wellness,Some College,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,26,French Guiana,Business and Finance,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,59,El Salvador,Education and Research,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,66,Benin,Education and Research,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,59,Bulgaria,Arts and Entertainment,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,34,Ecuador,Trades and Services,High School Graduate,Music and Performing Arts,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,22,Maldives,Student / Retired / Unemployed / Prefer not to say,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,39,Ireland,Education and Research,College Degree,Literature and Writing,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,44,United States Virgin Islands,Education and Research,College Degree,Sports and Athletics,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,33,Belarus,Trades and Services,High School Graduate,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,33,Israel,Trades and Services,Post-Graduate Degree,Science and Technology,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,24,Iceland,Trades and Services,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,55,Dominican Republic,Business and Finance,College Degree,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,48,Belgium,Tech and Engineering,Some College,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,62,Mayotte,Tech and Engineering,High School Graduate,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Non-binary/Prefer not to say,61,Japan,Tech and Engineering,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,44,British Virgin Islands,Arts and Entertainment,Some College,Sports and Athletics,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,39,Comoros,Arts and Entertainment,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,27,Aruba,Public Service and Non-Profit,Some High School,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,67,Ghana,Education and Research,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,25,Pakistan,Trades and Services,Some High School,Entrepreneurship and Business,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,55,Mozambique,Trades and Services,College Degree,Politics and Social Activism,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,47,Qatar,Education and Research,Some College,Music and Performing Arts,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,53,Gambia,Public Service and Non-Profit,Some High School,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,22,Sao Tome and Principe,Tech and Engineering,High School Graduate,Entrepreneurship and Business,Reading or writing,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,58,Uzbekistan,Business and Finance,Some College,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,38,Togo,Business and Finance,College Degree,Politics and Social Activism,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,24,Venezuela,Business and Finance,Some High School,Film and Television,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,58,Tunisia,Trades and Services,College Degree,Sports and Athletics,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,30,Cayman Islands,Tech and Engineering,Some College,Film and Television,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,29,Ireland,Tech and Engineering,High School Graduate,Entrepreneurship and Business,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Non-binary/Prefer not to say,25,Nicaragua,Arts and Entertainment,College Degree,Sports and Athletics,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,18,Montenegro,Business and Finance,High School Graduate,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,39,Luxembourg,Health and Wellness,Post-Graduate Degree,Politics and Social Activism,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,57,American Samoa,Tech and Engineering,Some High School,Entrepreneurship and Business,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,46,Vietnam,Arts and Entertainment,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,49,Zambia,Public Service and Non-Profit,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,68,Dominican Republic,Trades and Services,Some College,Film and Television,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,20,Hungary,Trades and Services,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,60,Madagascar,Education and Research,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,66,Namibia,Education and Research,Some College,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,41,French Guiana,Tech and Engineering,Some College,Film and Television,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,49,Portugal,Business and Finance,High School Graduate,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,28,Sri Lanka,Public Service and Non-Profit,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,26,Costa Rica,Business and Finance,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,24,Tuvalu,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Film and Television,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,68,Honduras,Tech and Engineering,College Degree,Sports and Athletics,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,23,Netherlands Antilles,Health and Wellness,Some College,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,34,Nigeria,Education and Research,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,60,Cuba,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Literature and Writing,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,57,Northern Mariana Islands,Business and Finance,High School Graduate,Science and Technology,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,45,Wallis and Futuna,Education and Research,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,23,Madagascar,Health and Wellness,Some College,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,54,El Salvador,Student / Retired / Unemployed / Prefer not to say,Some High School,Music and Performing Arts,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,29,Swaziland,Health and Wellness,Some High School,Science and Technology,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,43,Guatemala,Tech and Engineering,College Degree,Music and Performing Arts,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,66,Panama,Business and Finance,Some College,Politics and Social Activism,Reading or writing,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,39,Holy See (Vatican City State),Business and Finance,College Degree,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,63,Guernsey,Tech and Engineering,College Degree,Science and Technology,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
